Stock,Date,Close,PE_Ratio,Monthly_Return,ROE
STOCK_37,2024-01-31,130.18,9.29,-0.0245,0.0722
STOCK_37,2024-02-29,132.83,9.88,0.0204,0.0707
STOCK_37,2024-03-31,137.59,9.37,0.0358,0.0754
STOCK_37,2024-04-30,125.33,10.18,-0.0891,0.0736
STOCK_37,2024-05-31,119.55,10.64,-0.0461,0.0728
STOCK_37,2024-06-30,127.11,9.59,0.0633,0.0702
STOCK_37,2024-07-31,126.15,9.76,-0.0076,0.0737
STOCK_37,2024-08-31,128.16,9.14,0.0159,0.0724
STOCK_37,2024-09-30,135.88,9.89,0.0603,0.0723
STOCK_37,2024-10-31,134.35,9.13,-0.0113,0.0688
STOCK_37,2024-11-30,121.84,9.69,-0.0931,0.0705
STOCK_37,2024-12-31,119.23,8.16,-0.0214,0.068
STOCK_38,2024-01-31,229.85,23.04,-0.0784,0.0419
STOCK_38,2024-02-29,235.0,24.0,0.0224,0.044
STOCK_38,2024-03-31,231.85,20.86,-0.0134,0.0416
STOCK_38,2024-04-30,240.1,21.38,0.0356,0.0416
STOCK_38,2024-05-31,262.44,21.37,0.093,0.045
STOCK_38,2024-06-30,265.18,23.42,0.0104,0.0425
STOCK_38,2024-07-31,281.83,20.72,0.0628,0.041
STOCK_38,2024-08-31,291.01,22.56,0.0326,0.0421
STOCK_38,2024-09-30,270.01,20.03,-0.0722,0.0403
STOCK_38,2024-10-31,242.72,21.61,-0.1011,0.0435
STOCK_38,2024-11-30,243.74,19.07,0.0042,0.0418
STOCK_38,2024-12-31,242.58,23.75,-0.0048,0.0402
STOCK_39,2024-01-31,97.77,14.41,0.0388,0.1173
STOCK_39,2024-02-29,102.83,13.75,0.0517,0.1192
STOCK_39,2024-03-31,94.87,14.56,-0.0774,0.1168
STOCK_39,2024-04-30,91.84,14.31,-0.032,0.114
STOCK_39,2024-05-31,86.39,14.07,-0.0593,0.1123
STOCK_39,2024-06-30,88.49,13.5,0.0244,0.1186
STOCK_39,2024-07-31,82.66,13.92,-0.0659,0.114
STOCK_39,2024-08-31,89.65,14.56,0.0845,0.1154
STOCK_39,2024-09-30,92.78,12.82,0.0349,0.116
STOCK_39,2024-10-31,104.36,14.42,0.1249,0.1164
STOCK_39,2024-11-30,108.32,14.97,0.0379,0.1092
STOCK_39,2024-12-31,97.93,14.48,-0.0959,0.1136
STOCK_40,2024-01-31,240.6,24.65,-0.0711,0.304
STOCK_40,2024-02-29,239.08,27.97,-0.0063,0.3161
STOCK_40,2024-03-31,257.47,28.33,0.0769,0.2866
STOCK_40,2024-04-30,268.29,29.37,0.042,0.309
STOCK_40,2024-05-31,285.43,26.91,0.0639,0.3246
STOCK_40,2024-06-30,270.43,29.65,-0.0526,0.2907
STOCK_40,2024-07-31,256.69,30.74,-0.0508,0.3038
STOCK_40,2024-08-31,270.91,28.91,0.0554,0.3052
STOCK_40,2024-09-30,294.43,28.24,0.0868,0.2898
STOCK_40,2024-10-31,281.71,29.36,-0.0432,0.3098
STOCK_40,2024-11-30,256.63,27.54,-0.089,0.3008
STOCK_40,2024-12-31,252.29,26.61,-0.0169,0.3004
STOCK_41,2024-01-31,111.7,13.35,-0.0037,0.2892
STOCK_41,2024-02-29,106.79,12.83,-0.044,0.2798
STOCK_41,2024-03-31,103.25,12.82,-0.0331,0.2894
STOCK_41,2024-04-30,108.29,12.53,0.0488,0.2882
STOCK_41,2024-05-31,107.4,13.85,-0.0082,0.2878
STOCK_41,2024-06-30,98.57,12.76,-0.0822,0.2882
STOCK_41,2024-07-31,105.15,12.11,0.0667,0.2909
STOCK_41,2024-08-31,113.18,13.51,0.0764,0.2927
STOCK_41,2024-09-30,108.97,13.53,-0.0372,0.274
STOCK_41,2024-10-31,94.19,14.26,-0.1357,0.2794
STOCK_41,2024-11-30,92.09,12.67,-0.0223,0.2758
STOCK_41,2024-12-31,91.59,13.12,-0.0054,0.2912
STOCK_42,2024-01-31,239.38,19.79,0.0997,0.3242
STOCK_42,2024-02-29,256.85,22.23,0.073,0.3109
STOCK_42,2024-03-31,253.32,22.33,-0.0137,0.3297
STOCK_42,2024-04-30,257.55,20.68,0.0167,0.321
STOCK_42,2024-05-31,263.29,20.64,0.0223,0.3243
STOCK_42,2024-06-30,265.85,20.2,0.0097,0.3299
STOCK_42,2024-07-31,313.67,19.05,0.1799,0.3279
STOCK_42,2024-08-31,300.93,21.51,-0.0406,0.3252
STOCK_42,2024-09-30,316.19,22.14,0.0507,0.3266
STOCK_42,2024-10-31,339.24,18.46,0.0729,0.3402
STOCK_42,2024-11-30,348.58,22.03,0.0275,0.3128
STOCK_42,2024-12-31,332.94,21.06,-0.0448,0.3245
STOCK_43,2024-01-31,419.84,38.05,0.0634,0.2588
STOCK_43,2024-02-29,384.89,38.99,-0.0833,0.2415
STOCK_43,2024-03-31,401.78,35.19,0.0439,0.2608
STOCK_43,2024-04-30,400.92,40.26,-0.0022,0.259
STOCK_43,2024-05-31,386.23,37.07,-0.0366,0.2703
STOCK_43,2024-06-30,400.59,37.3,0.0372,0.2585
STOCK_43,2024-07-31,364.92,38.77,-0.089,0.2466
STOCK_43,2024-08-31,383.21,38.28,0.0501,0.279
STOCK_43,2024-09-30,359.83,37.84,-0.061,0.2744
STOCK_43,2024-10-31,387.35,36.71,0.0765,0.2621
STOCK_43,2024-11-30,389.33,38.57,0.0051,0.2549
STOCK_43,2024-12-31,389.19,34.99,-0.0004,0.2614
STOCK_44,2024-01-31,175.22,33.24,0.0643,0.1283
STOCK_44,2024-02-29,173.15,30.2,-0.0118,0.1271
STOCK_44,2024-03-31,168.43,34.65,-0.0273,0.1286
STOCK_44,2024-04-30,175.74,31.77,0.0434,0.1321
STOCK_44,2024-05-31,175.13,34.07,-0.0035,0.1291
STOCK_44,2024-06-30,159.48,30.39,-0.0894,0.1291
STOCK_44,2024-07-31,148.32,33.32,-0.0699,0.1293
STOCK_44,2024-08-31,170.2,29.81,0.1475,0.132
STOCK_44,2024-09-30,159.53,31.84,-0.0627,0.1317
STOCK_44,2024-10-31,138.07,33.03,-0.1345,0.1387
STOCK_44,2024-11-30,135.0,33.07,-0.0222,0.1352
STOCK_44,2024-12-31,134.35,31.7,-0.0048,0.1222
STOCK_45,2024-01-31,301.48,12.15,0.0126,0.3355
STOCK_45,2024-02-29,313.96,11.68,0.0414,0.3516
STOCK_45,2024-03-31,289.2,12.1,-0.0789,0.3605
STOCK_45,2024-04-30,310.21,12.57,0.0726,0.3313
STOCK_45,2024-05-31,301.91,12.56,-0.0268,0.3413
STOCK_45,2024-06-30,301.77,12.49,-0.0005,0.3387
STOCK_45,2024-07-31,277.17,12.19,-0.0815,0.3502
STOCK_45,2024-08-31,255.8,12.39,-0.0771,0.3325
STOCK_45,2024-09-30,258.79,12.27,0.0117,0.356
STOCK_45,2024-10-31,267.95,11.69,0.0354,0.3477
STOCK_45,2024-11-30,256.83,12.15,-0.0415,0.3441
STOCK_45,2024-12-31,250.54,13.07,-0.0245,0.333
STOCK_46,2024-01-31,489.11,17.99,0.071,0.2184
STOCK_46,2024-02-29,558.1,16.54,0.1411,0.2082
STOCK_46,2024-03-31,521.5,16.76,-0.0656,0.2038
STOCK_46,2024-04-30,491.03,16.52,-0.0584,0.2068
STOCK_46,2024-05-31,457.64,18.17,-0.068,0.202
STOCK_46,2024-06-30,537.07,17.05,0.1736,0.2082
STOCK_46,2024-07-31,498.02,18.93,-0.0727,0.2147
STOCK_46,2024-08-31,509.38,16.27,0.0228,0.209
STOCK_46,2024-09-30,477.65,18.72,-0.0623,0.2128
STOCK_46,2024-10-31,482.78,15.32,0.0107,0.2016
STOCK_46,2024-11-30,505.11,18.5,0.0463,0.2146
STOCK_46,2024-12-31,459.39,17.7,-0.0905,0.214
STOCK_47,2024-01-31,64.83,7.28,-0.013,0.161
STOCK_47,2024-02-29,63.88,7.96,-0.0146,0.1598
STOCK_47,2024-03-31,62.51,8.0,-0.0216,0.1647
STOCK_47,2024-04-30,61.68,7.85,-0.0133,0.163
STOCK_47,2024-05-31,54.88,8.21,-0.1103,0.1625
STOCK_47,2024-06-30,55.28,8.4,0.0074,0.153
STOCK_47,2024-07-31,49.01,8.13,-0.1134,0.1625
STOCK_47,2024-08-31,49.76,7.83,0.0152,0.1658
STOCK_47,2024-09-30,52.79,8.21,0.061,0.1613
STOCK_47,2024-10-31,46.38,8.33,-0.1215,0.1685
STOCK_47,2024-11-30,48.4,7.67,0.0437,0.1658
STOCK_47,2024-12-31,51.14,8.64,0.0566,0.1583
STOCK_48,2024-01-31,426.71,34.25,-0.062,0.1107
STOCK_48,2024-02-29,431.09,33.92,0.0103,0.108
STOCK_48,2024-03-31,471.49,32.04,0.0937,0.1069
STOCK_48,2024-04-30,474.15,35.02,0.0057,0.1039
STOCK_48,2024-05-31,439.25,30.13,-0.0736,0.1089
STOCK_48,2024-06-30,411.97,32.91,-0.0621,0.111
STOCK_48,2024-07-31,398.17,33.94,-0.0335,0.1078
STOCK_48,2024-08-31,416.22,34.35,0.0453,0.1066
STOCK_48,2024-09-30,414.09,35.3,-0.0051,0.1101
STOCK_48,2024-10-31,381.45,34.65,-0.0788,0.1053
STOCK_48,2024-11-30,415.69,35.27,0.0898,0.1098
STOCK_48,2024-12-31,421.69,33.2,0.0144,0.111
STOCK_49,2024-01-31,275.61,12.41,-0.0287,0.0838
STOCK_49,2024-02-29,259.39,11.63,-0.0589,0.0888
STOCK_49,2024-03-31,288.84,13.71,0.1135,0.0827
STOCK_49,2024-04-30,302.84,13.71,0.0485,0.0857
STOCK_49,2024-05-31,306.2,11.52,0.0111,0.0876
STOCK_49,2024-06-30,288.19,12.93,-0.0588,0.0828
STOCK_49,2024-07-31,299.02,13.46,0.0376,0.0849
STOCK_49,2024-08-31,280.12,11.42,-0.0632,0.0862
STOCK_49,2024-09-30,271.74,11.81,-0.0299,0.0881
STOCK_49,2024-10-31,265.76,12.11,-0.022,0.0855
STOCK_49,2024-11-30,284.18,13.19,0.0693,0.0866
STOCK_49,2024-12-31,296.15,12.06,0.0421,0.087
STOCK_50,2024-01-31,370.09,40.04,-0.0418,0.3242
STOCK_50,2024-02-29,307.17,41.37,-0.17,0.2898
STOCK_50,2024-03-31,297.35,41.05,-0.032,0.3159
STOCK_50,2024-04-30,272.68,36.91,-0.083,0.3288
STOCK_50,2024-05-31,242.6,41.25,-0.1103,0.3184
STOCK_50,2024-06-30,226.46,37.91,-0.0665,0.3092
STOCK_50,2024-07-31,239.36,40.48,0.057,0.3025
STOCK_50,2024-08-31,234.76,37.36,-0.0192,0.3313
STOCK_50,2024-09-30,216.92,42.18,-0.076,0.3186
STOCK_50,2024-10-31,202.88,37.72,-0.0647,0.3113
STOCK_50,2024-11-30,188.38,39.23,-0.0715,0.3072
STOCK_50,2024-12-31,164.68,38.31,-0.1258,0.3017
